"patron","x","y"
"p01",0.632630418734643,0.931027672346326
"p01",0.643578300520663,0.935320963678364
"p01",0.626166751925818,0.923184798097592
"p01",0.598029943100082,0.941927066439634
"p01",0.624254393575739,0.912433526806107
"p01",0.645108061405008,0.905306117810205
"p01",0.215919381814023,0.0225187868311087
"p01",0.239297053997905,0.0572700883384602
"p01",0.23079233385058,0.0442513242655179
"p01",0.21196460524822,0.0619994459743852
"p01",0.231144803972387,0.0750019218183302
"p01",0.232254833211915,0.0780896194102997
"p01",0.260645794708806,0.051294188291359
"p01",0.239256950102737,0.0646966573054409
"p01",0.233657314907368,0.063612582813393
"p01",0.194282625565517,0.0819801509145524
"p01",0.251341219807587,0.0519448938812317
"p01",0.379272561825807,0.581218833165056
"p01",0.395430214867315,0.577407116747849
"p01",0.375012511677098,0.570187372372443
"p01",0.402112785837345,0.596704981763951
"p01",0.405143737635096,0.592556133614716
"p01",0.397801667710636,0.619673938171126
"p01",0.813150415395611,0.537181384230343
"p01",0.842544636285128,0.547969623082166
"p01",0.827734423300627,0.522978780230097
"p01",0.798579605387891,0.533482130889503
"p01",0.788517148464734,0.557457260414532
"p01",0.796028208938299,0.562240167892769
"p01",0.780176697876755,0.540264728719832
"p01",0.869546824009447,0.70157284628492
"p01",0.865680648377906,0.676970985850316
"p01",0.852862155650509,0.645873032129446
"p01",0.841035744497698,0.641211673224562
"p01",0.86285885159202,0.674146259653368
"p01",0.87318760864893,0.674489708168203
"p01",0.862627629766197,0.672360783891119
"p01",0.836058002116542,0.670177323473265
"p01",0.678166089515591,0.815373270305856
"p01",0.668457509839589,0.822698732835287
"p01",0.636791595823988,0.825405547455792
"p01",0.494665854614662,0.732500565346801
"p01",0.494394579636253,0.746449496247719
"p01",0.469333584550367,0.733731146081451
"p01",0.484911837464326,0.745194229890676
"p01",0.720760639909224,0.85975488705308
"p01",0.762204330537477,0.823531598277781
"p01",0.749916430416049,0.835206934441485
"p01",0.755844353407901,0.814829968214043
"p01",0.692379272551992,0.845792038913135
"p01",0.989009355380441,0.0150184051055903
"p01",0.0676895333249503,0.743699133178371
"p01",0.0385919082453333,0.705888285176174
"p01",0.0635771644226276,0.730170081640518
"p01",0.0739276820245668,0.725659064373455
"p01",0.0660729292621694,0.725544871941554
"p01",0.0571614707906092,0.716205682043018
"p01",0.0484164917469632,0.7132063866971
